title,abstract,year,journal,cluster,top_terms
Current understanding of sarcopenia: possible candidates modulating muscle mass.,"The world's elderly population is expanding rapidly, and we are now faced with the significant challenge of maintaining or improving physical activity,  independence, and quality of life in the elderly. Sarcopenia, the age-related  loss of skeletal muscle mass, is characterized by a deterioration of muscle  quantity and quality leading to a gradual slowing of movement, a decline in  strength and power, increased risk of fall-related injury, and often, frailty.  Since sarcopenia is largely attributed to various molecular mediators affecting  fiber size, mitochondrial homeostasis, and apoptosis, the mechanisms responsible  for these deleterious changes present numerous therapeutic targets for drug  discovery. Muscle loss has been linked with several proteolytic systems,  including the ubuiquitin-proteasome, lysosome-autophagy, and tumor necrosis  factor (TNF)-α/nuclear factor-kappaB (NF-κB) systems. Although many factors are  considered to regulate age-dependent muscle loss, this gentle atrophy is not  affected by factors known to enhance rapid atrophy (denervation, hindlimb  suspension, etc.). In addition, defects in Akt-mammalian target of rapamycin  (mTOR) and serum response factor (SRF)-dependent signaling have been found in  sarcopenic muscle. Intriguingly, more recent studies indicated an apparent  functional defect in autophagy- and myostatin-dependent signaling in sarcopenic  muscle. In this review, we summarize the current understanding of the adaptation  of many regulators in sarcopenia.",2015,Pflugers Archiv : European journal of physiology,4,wasting; muscle wasting; sarcopenia; loss; understanding
Muscle wasting in collagen-induced arthritis and disuse atrophy.,"The mechanisms of muscle wasting and decreased mobility have a major functional effect in rheumatoid arthritis, but they have been poorly studied. The objective  of our study is to describe muscular involvement and the pathways in an  experimental model of arthritis compared to the pathways in disuse atrophy.  Female Wistar rats were separated into three groups: control (CO),  collagen-induced arthritis (CIA), and immobilized (IM). Spontaneous locomotion  and weight were evaluated weekly. The gastrocnemius muscle was evaluated by  histology and immunoblotting to measure the expression of myostatin (a negative  regulator), LC3 (autophagy), MuRF-1 (proteasome-mediated proteolysis), MyoD, and  myogenin (satellite-cell activation). The significance level was set at P < 0.05,  and histological analysis of joints confirmed the severity of the arthropathy.  There was a significant difference in spontaneous locomotion in the CIA group.  Animal body weight, gastrocnemius muscle weight, and relative muscle weight  decreased 20%, 30%, and 20%, respectively, in the CIA rats. Inflammatory  infiltration and swelling were present in the gastrocnemius muscles of the CIA  rats. The mean cross-sectional area was reduced by 30% in the CIA group and by  60% in the IM group. The expressions of myostatin and LC3 between the groups were  similar. There was increased expression of MuRF-1 in the IM (1.9-fold) and CIA  (3.1-fold) groups and of myogenin in the muscles of the CIA animals (1.7-fold),  while MyoD expression was decreased in the IM (20%) rats. This study demonstrated  that the development of experimental arthritis is associated with decreased  mobility, body weight, and muscle loss. Both IM and CIA animal models presented  muscle atrophy, but while proteolysis and the regeneration pathways were  activated in the CIA model, there was no activation of regeneration in the IM  model. We can assume that muscle atrophy in experimental arthritis is associated  with the disease itself and not simply with decreased mobility.",2013,"Experimental biology and medicine (Maywood, N.J.)",8,group; immobilization; expression; protein; cast
SERCA activation prevents Ca(2+) and ATP upregulation during 3-day soleus muscle unloading in rats.,"The imbalance in the ratio of protein synthesis versus protein degradation results in skeletal muscle atrophy following unloading. The onset of these  processes is regulated by the sarcoplasmic concentrations of ATP and calcium  (Ca(2+)). We tested the hypothesis that unloading-induced inactivation of  sarcoendoplasmic reticulum calcium ATPase (SERCA) results in raised Ca(2+)  concentrations, triggering catabolic processes. CDN1163, an activator of SERCA,  was used to test this hypothesis. Three groups of male rats were used: control  rats with intraperitoneal injection of placebo (C), 3 days of unloading with  placebo injection (3HS), and 3 days of unloading injected with CDN1163 (3HSC).  Treatment with CDN1163 during 3 days of soleus muscle unloading prevented the  upregulation of Ca(2+) and ATP and the slow-to-fast shift in muscle fiber  composition. This treatment blocked the decrease in the phosphorylation of the  anabolic markers [glycogen synthase kinase-3β (GSK3β), eukaryotic translation  elongation factor 2 (eEF2), and ribosomal protein S6 (S6,  Ser240/244/Ser235/236)], and therefore it is likely that it improved the  efficiency of translation in the unloaded muscle, but it did not affect  mTORC1-dependent signaling. Treatment with CDN1163 also modulated the regulation  of the Ca(2+)-dependent signaling in muscle during unloading via SERCA1 and  calsequestrin 2 (CSQ2) and changes in the calcium/calmodulin-dependent protein  kinase II (CaMKII) phosphorylation and the content of inositol  1,4,5-trisphosphate receptor (IP3R). In addition, CDN1163 prevented the  upregulation of the mRNA expression of muscle-specific RING finger protein 1  (MuRF1) [but not ubiquitin ligase muscle atrophy F-box (MAFbx)] and attenuated  the increase of casitas B lymphoma-b (Cbl-b) and ubiquitin mRNA expression during  unloading. Activation of SERCA with CDN1163 prevents the upregulation of Ca(2+)  and ATP, as well as calcium-dependent and ubiquitin-proteasome pathways markers,  and improves protein translation efficiency in 3-day unloaded soleus muscle.NEW &  NOTEWORTHY A hypothesis was tested that unloading-induced inactivation of SERCA  results in the accumulation of increased Ca(2+) concentrations and activation of  catabolic processes. CDN1163, an activator of SERCA, was used to test this  hypothesis. CDN1163 prevented the decrease in phosphorylation of anabolic  markers, which likely improved translation efficiency in unloaded muscle. CDN1163  prevented unloading-induced upregulation of mRNA expression of MuRF1 (but not  MAFbx) and attenuated the increase of Cbl-b and ubiquitin mRNA expression.",2025,"American journal of physiology. Regulatory, integrative and comparative physiology",2,soleus; hs; soleus muscle; unloading; rats
Muscle atrophy following anterior cruciate ligament reconstruction: A narrative review.,"Muscle weakness is a common issue following anterior cruciate ligament (ACL) reconstruction and is closely linked to muscle atrophy. Preventing or reducing  this atrophy is a key goal of rehabilitation. This review summarizes current  knowledge on muscle atrophy after ACL reconstruction, including its spatial  distribution, time course, underlying mechanisms, and potential interventions.  Atrophy affects multiple lower limb muscles and may be influenced by the type of  graft used. Tendon harvesting appears to negatively impact the muscle belly of  the donor muscle, while atrophy may also occur in the contralateral limb  independently of graft harvesting. Muscle atrophy is often already present before  surgery and tends to worsen postoperatively. Although partial recovery may occur,  long-term deficits are frequently observed. At the muscle fiber level, evidence  is inconsistent regarding which fiber types are more vulnerable to atrophy. A  transient shift toward faster fiber types has been reported after surgery. On the  cellular and molecular level, satellite cell depletion via apoptosis may hinder  muscle regrowth and thereby contribute to persistent muscle atrophy.  Concurrently, increased expression of myostatin, atrogin-1, and muscle  RING-finger-1, along with postoperative inflammation, may promote protein  degradation, further exacerbating muscle atrophy. Rehabilitation strategies that  involve early immobilization or non-weight bearing may exacerbate atrophy.  Interventions such as eccentric training, neuromuscular electrical stimulation,  blood flow restriction training, pharmacological agents, and nutritional support  demonstrate potential, but no definitive treatment has been established. Future  studies using appropriate animal models to clarify the molecular mechanisms of  muscle atrophy will be crucial for developing effective therapies.",2026,Histology and histopathology,0,recovery; reloading; mass; muscle mass; mice
Ibandronate concomitantly blocks immobilization-induced bone and muscle atrophy.,"Both bone and muscle volume is concomitantly reduced under immobilization conditions; however, no single drug is currently available to block these  outcomes simultaneously. Bisphosphonates are utilized clinically to inhibit  osteoclast-dependent bone resorption, but their effects on muscle are largely  unknown. Here we show that skeletal muscle is a direct target of the  bisphosphonate ibandronate (IBN) and that reduced muscle volume and induction of  Atrogin-1 and MuRF1, both atrogenes, are significantly inhibited by IBN  administration in vivo using a mouse model of muscle atrophy. IBN treatment also  significantly blocked immobilization-induced bone loss in vivo. We also report  that expression of Atrogin-1 and MuRF1 and accumulation of Smad2/3 proteins,  which are upstream of atrogines, occurred following serum starvation of myogenic  C2C12 cells in vitro, effects significantly inhibited by IBN treatment.  Interestingly, IBN effects on C2C12 cells were abrogated by MG132, an  ubiquitin/proteasome inhibitor, suggesting that IBN functions via the  ubiquitin-proteasome system. Our findings lend new insight into the role of IBN  in preventing muscle atrophy.",2016,Biochemical and biophysical research communications,7,skeletal; skeletal muscle; muscle atrophy; protein; role
eIF3f: a central regulator of the antagonism atrophy/hypertrophy in skeletal muscle.,"The eukaryotic initiation factor 3 subunit f (eIF3f) is one of the 13 subunits of the translation initiation factor complex eIF3 required for several steps in the  initiation of mRNA translation. In skeletal muscle, recent studies have  demonstrated that eIF3f plays a central role in skeletal muscle size maintenance.  Accordingly, eIF3f overexpression results in hypertrophy through modulation of  protein synthesis via the mTORC1 pathway. Importantly, eIF3f was described as a  target of the E3 ubiquitin ligase MAFbx/atrogin-1 for proteasome-mediated  breakdown under atrophic conditions. The biological importance of the  MAFbx/atrogin-1-dependent targeting of eFI3f is highlighted by the finding that  expression of an eIF3f mutant insensitive to MAFbx/atrogin-1 polyubiquitination  is associated with enhanced protection against starvation-induced muscle atrophy.  A better understanding of the precise role of this subunit should lead to the  development of new therapeutic approaches to prevent or limit muscle wasting that  prevails in numerous physiological and pathological states such as  immobilization, aging, denervated conditions, neuromuscular diseases, AIDS,  cancer, diabetes. This article is part of a Directed Issue entitled: Molecular  basis of muscle wasting.",2013,The international journal of biochemistry & cell biology,7,skeletal; skeletal muscle; muscle atrophy; protein; role
Inactivity-induced NR4A3 downregulation in human skeletal muscle affects glucose metabolism and translation: Insights from in vitro analysis.,"OBJECTIVE: Physical activity promotes health, whereas inactivity is associated with metabolic impairment. The transcription factor nuclear receptor subfamily 4  group A member 3 (NR4A3) is a pleiotropic regulator of skeletal muscle exercise  adaptation and metabolism. However, the consequence of lower NR4A3 expression  remains largely unexplored. We investigated the impact of NR4A3 downregulation on  human skeletal muscle metabolism. METHODS: Published transcriptomic datasets from  human bed rest and limb immobilisation studies were curated to meta-analyse the  effect of physical inactivity on skeletal muscle NR4A3 levels. In primary human  skeletal myotubes, siRNA and lentivirus were used to silence and overexpress  NR4A3, respectively. Basal and stimulated (insulin ± leucine) signal transduction  was determined by immunoblot analysis. Effects on glucose, fatty acid, and  protein metabolism were measured using radiolabelled substrate assays. Lactate  production was assessed in culture supernatant by colourimetry. Cell morphology  was analysed by immunocytochemistry and gene expression was quantified by  RT-qPCR. RESULTS: Physical inactivity decreased skeletal muscle NR4A3 (-27%),  concomitant with pathways related to mitochondrial function, cytoskeleton  organization, chromatin regulation, protein synthesis and degradation. Silencing  of NR4A3 reduced glucose oxidation (-18%) and increased lactate production (+23%)  in vitro. This coincided with greater signalling downstream of AMPK and elevated  rates of basal (+26%) and FCCP-stimulated (+55%) fatty acid oxidation. NR4A3  downregulation lowered protein synthesis (-25%), and impaired mTORC1 signalling  and ribosomal transcription. Alternatively, overexpression of the canonical NR4A3  protein isoform (+290%) augmented translation and total cellular protein content,  which protected myotubes against dexamethasone-induced atrophy. Moreover, partial  restoration of NR4A3 levels rescued glucose oxidation in NR4A3-silenced muscle  cells and restored phosphorylation of mTORC1 substrates. NR4A3 depletion reduced  myotube area (-48%) and further altered protein and gene expression of key  contractile elements in skeletal muscle. CONCLUSIONS: Our study connects reduced  NR4A3 expression with physical inactivity and indicates that NR4A3 downregulation  in human skeletal muscle has adverse effects on glucose metabolism and protein  synthesis. Thus, decrements in NR4A3 abundance could be causal in the deleterious  health consequences resulting from sedentary lifestyles and targeting NR4A3 may  offer new avenues for combating conditions such as disuse muscle atrophy.",2025,Molecular metabolism,7,skeletal; skeletal muscle; muscle atrophy; protein; role
The effects of real and simulated microgravity on cellular mitochondrial function.,"Astronauts returning from space shuttle missions or the International Space Station have been diagnosed with various health problems such as bone  demineralization, muscle atrophy, cardiovascular deconditioning, and vestibular  and sensory imbalance including visual acuity, altered metabolic and nutritional  status, and immune system dysregulation. These health issues are associated with  oxidative stress caused by a microgravity environment. Mitochondria are a source  of reactive oxygen species (ROS). However, the molecular mechanisms through which  mitochondria produce ROS in a microgravity environment remain unclear. Therefore,  this review aimed to explore the mechanism through which microgravity induces  oxidative damage in mitochondria by evaluating the expression of genes and  proteins, as well as relevant metabolic pathways. In general,  microgravity-induced ROS reduce mitochondrial volume by mainly affecting the  efficiency of the respiratory chain and metabolic pathways. The impaired  respiratory chain is thought to generate ROS through premature electron leakage  in the electron transport chain. The imbalance between ROS production and  antioxidant defense in mitochondria is the main cause of mitochondrial stress and  damage, which leads to mitochondrial dysfunction. Moreover, we discuss the  effects of antioxidants against oxidative stress caused by the microgravity  environment space microgravity in together with simulated microgravity (i.e.,  spaceflight or ground-based spaceflight analogs: parabolic flight, centrifugal  force, drop towers, etc.). Further studies should be taken to explore the effects  of microgravity on mitochondrial stress-related diseases, especially for the  development of new therapeutic drugs that can help increase the health of  astronauts on long space missions.",2021,NPJ microgravity,6,microgravity; space; spaceflight; simulated; mitochondrial
Spaceflight on the ISS changed the skeletal muscle proteome of two astronauts.,"Skeletal muscle undergoes atrophy and loss of force during long space missions, when astronauts are persistently exposed to altered gravity and increased  ionizing radiation. We previously carried out mass spectrometry-based proteomics  from skeletal muscle biopsies of two astronauts, taken before and after a mission  on the International Space Station. The experiments were part of an effort to  find similarities between spaceflight and bed rest, a ground-based model of  unloading, focused on proteins located at the costameres. We here extend the data  analysis of the astronaut dataset and show compartment-resolved changes in the  mitochondrial proteome, remodeling of the extracellular matrix and of the  antioxidant response. The astronauts differed in their level of onboard physical  exercise, which correlated with their respective preservation of muscle mass and  force at landing in previous analyses. We show that the mitochondrial proteome  downregulation during spaceflight, particularly the inner membrane and matrix,  was dramatic for both astronauts. The expression of autophagy regulators and  reactive oxygen species scavengers, however, showed partially opposite expression  trends in the two subjects, possibly correlating with their level of onboard  exercise. As mitochondria are primarily affected in many different tissues during  spaceflight, we hypothesize that reactive oxygen species (ROS) rather than  mechanical unloading per se could be the primary cause of skeletal muscle  mitochondrial damage in space. Onboard physical exercise might have a strong  direct effect on the prevention of muscle atrophy through mechanotransduction and  a subsidiary effect on mitochondrial quality control, possibly through  upregulation of autophagy and anti-oxidant responses.",2024,NPJ microgravity,6,microgravity; space; spaceflight; simulated; mitochondrial
Mechanical unloading of 3D-engineered muscle leads to muscle atrophy by suppressing protein synthesis.,"Three-dimensional (3D)-engineered muscle is an useful approach to a more comprehensive understanding of molecular mechanisms underlying unloading-induced  muscle atrophy. We investigated the effects of mechanical unloading on molecular  muscle protein synthesis (MPS)- and muscle protein breakdown (MPB)-related  signaling pathways involved in muscle atrophy in 3D-engineered muscle, and to  better understand in vitro model of muscle disuse. The 3D-engineered muscle  consisting of C2C12 myoblasts and type-1 collagen gel was allowed to  differentiate for 2 wk and divided into three groups: 0 days of stretched-on  control (CON), 2 and/or 7 days of stretched-on (ON), in which both ends of the  muscle were fixed with artificial tendons, and the stretched-off group (OFF), in  which one side of the artificial tendon was detached. Muscle weight (-38.1% to  -48.4%), length (-67.0% to -73.5%), twitch contractile force (-70.5% to -75.0%),  and myosin heavy chain expression (-32.5% to -50.5%) in the OFF group were  significantly decreased on days 2 and 7 compared with the ON group (P < 0.05,  respectively), despite that ON group was stable over time. Although determinative  molecular signaling could not be identified, the MPS rate reflected by  puromysin-labeled protein was significantly decreased following mechanical  unloading (P < 0.05, -38.5% to -51.1%). Meanwhile, MPB, particularly the  ubiquitin-proteasome pathway, was not impacted. Hence, mechanical unloading of  3D-engineered muscle in vitro leads to muscle atrophy by suppressing MPS, cell  differentiation, and cell growth rather than the promotion of MPB.NEW &  NOTEWORTHY Three-dimensional (3D)-engineered muscles have recently been shown to  closely replicate the in vivo architecture. We found that mechanical unloading of  3D-engineered muscle led to muscle disuse atrophy accompanied by reduced  functional properties and contractile protein expression via suppression of  muscle protein synthesis. This novel model may improve the in vitro testing of  modalities with the potential to reduce mechanical unloading-induced atrophy.",2022,"Journal of applied physiology (Bethesda, Md. : 1985)",8,group; immobilization; expression; protein; cast
Nitric oxide treatment attenuates muscle atrophy during hind limb suspension in mice.,"Debilitating muscle-disuse atrophy in aging or obesity has huge socioeconomic impact. Since nitric oxide (NO) mediates muscle satellite cell activation and  induces hypertrophy with exercise in old mice, we tested whether treatment with  the NO donor, isosorbide dinitrate (ISDN), during hind limb suspension would  reduce atrophy. Mice were suspended 18 days, with or without daily ISDN  (66mg/kg). Muscles were examined for atrophy (weight, fiber diameter); regulatory  changes in atrogin-1 (a negative regulator of muscle mass), myostatin (inhibits  myogenesis), and satellite cell proliferation; and metabolic responses in myosin  heavy chains (MyHCs), liver lipid, and hypothalamic gene expression. Suspension  decreased muscle weight and weight relative to body weight between 25-55%, and  gastrocnemius fiber diameter vs. CONTROLS: In young-adult mice, ISDN attenuated  atrophy by half or more. In quadriceps, ISDN completely prevented the  suspension-induced rise in atrogin-1 and drop in myostatin precursor, and  attenuated the changes in MyHCs 1 and 2b observed in unloaded muscles without  treatment. Fatty liver in suspended young-adult mice was also reduced by ISDN;  suspended young mice had higher hypothalamic expression of the orexigenic  agouti-related protein, Agrp than controls. Notably, a suspension-induced drop in  muscle satellite cell proliferation by 25-58% was completely prevented (young  mice) or attenuated (halved, in young-adult mice) by ISDN. NO-donor treatment has  potential to attenuate atrophy and metabolic changes, and prevent regulatory  changes during disuse and offset/prevent wasting in age-related sarcopenia or  space travel. Increases in precursor proliferation resulting from NO treatment  would also amplify benefits of physical therapy and exercise.",2018,Free radical biology & medicine,9,mice; muscle atrophy; protein; immobilization; mass
Beta-Hydroxy-Beta-Methyl Butyrate (HMB): From Experimental Data to Clinical Evidence in Sarcopenia.,"β-hydroxy-β-methylbutyrate (HMB) is a metabolite derived from leucine and its ketoacid alpha- ketoisocaproate. Leucine has a role in regulating protein  synthesis in muscle cells, and HMB seems to be a key active metabolite in such  regulation. HMB has been shown to modulate muscle protein degradation by  inhibiting the ubiquitin-proteasome proteolytic pathway, to up-regulate protein  synthesis via the mTOR pathway, and to stabilize cell membranes via the rate  limiting enzyme to cholesterol synthesis HMG- coenzyme A reductase. It can also  decrease cell apoptosis, therefore improving cell survival; and increase  proliferation and differentiation of muscle stem cell, via the MAPK/ERK and  PI3K/Akt pathways. HMB is widely used as an ergogenic supplement by athletes and  bodybuilders, usually combined with exercise training, to increase muscle mass  and strength. Some studies have explored the role of HMB in chronic diseases  associated with muscle wasting (cancer, acquired immunodeficiency syndrome,  chronic obstructive pulmonary disease). This review focuses on the role of HMB in  the management of sarcopenia (age or disease-related loss of muscle mass and  function) in older persons. A small number of studies have shown increases in  lean (muscle) mass and some muscle function and physical performance parameters  in older people with or without resistance exercise, and preservation of muscle  mass during bed rest. However, heterogeneous methodological approaches preclude  solid conclusions, and more studies are needed to confirm the role of HMB as a  promising agent to treat sarcopenia.",2018,Current protein & peptide science,5,older; bed; hmb; bed rest; rest
Citrulline does not prevent skeletal muscle wasting or weakness in limb-casted mice.,"BACKGROUND: Increasing arginine (Arg) availability reduces atrophy in cultured skeletal muscle cells. Supplementation with its metabolic precursor citrulline  (Cit) is more effective at improving skeletal muscle Arg concentrations.  OBJECTIVE: We tested the hypothesis that Cit supplementation would attenuate  skeletal muscle atrophy and loss of function during hindlimb immobilization in  mice. METHODS: Male C57BL/6JArc mice underwent 14 d of unilateral hindlimb  immobilization/plaster casting and were supplemented with ~0.81 g Cit · kg⁻¹ ·  d⁻¹ (CIT group) or Ala (ALA group) mixed into their food. The uncasted  contralateral limb (internal control) and an uncasted group (CON) served as  controls. Muscle atrophy was evaluated with mass, fiber area, and in situ muscle  function. RESULTS: Tibialis anterior (TA) muscle mass [ALA: 37.6 ± 0.92 mg; CIT:  38.3 ± 1.25 mg] and peak tetanic force (ALA: 1150 ± 38.5 mN; CIT: 1150 ± 52.0 mN)  were lower (P < 0.001) in the ALA (53.9 ± 0.42 mg) and CIT (1760 ± 28.5 mN)  groups than in the CON group. No difference was found between ALA and CIT groups  for TA mass, fiber area, or peak force. The mRNA expression of the nitric oxide  synthase 2, inducible (Nos2; ~15-fold) and B-cell chronic lymphoid  leukemia/lymphoma 2/adenovirus E1B 19 kDa interacting protein 3 (Bnip3; ~17-fold)  genes and the ratio of microtubule-associated protein light chain 3BII to 3BI  (LC3BII:LC3BI) (50.5% ± 17.7%) were higher (P < 0.05) in the ALA group than in  the CON group, suggesting increased autophagy. In the CIT group, Bnip3 mRNA was  lower (-70%; P < 0.05) and Nos2 mRNA tended to be lower (-45%; P = 0.05) than in  the ALA group, whereas LC3BII:LC3BI was not different from the CON group.  CONCLUSIONS: Cit treatment of male mice did not affect therapeutically relevant  outcome measures such as skeletal muscle mass and peak muscle force after 14 d of  hindlimb immobilization.",2015,The Journal of nutrition,8,group; immobilization; expression; protein; cast
The impact of immobilisation and inflammation on the regulation of muscle mass and insulin resistance: different routes to similar end-points.,"Loss of muscle mass and insulin sensitivity are common phenotypic traits of immobilisation and increased inflammatory burden. The suppression of muscle  protein synthesis is the primary driver of muscle mass loss in human  immobilisation, and includes blunting of post-prandial increases in muscle  protein synthesis. However, the mechanistic drivers of this suppression are  unresolved. Immobilisation also induces limb insulin resistance in humans, which  appears to be attributable to the reduction in muscle contraction per se. Again  mechanistic insight is missing such that we do not know how muscle senses its  ""inactivity status"" or whether the proposed drivers of muscle insulin resistance  are simply arising as a consequence of immobilisation. A heightened inflammatory  state is associated with major and rapid changes in muscle protein turnover and  mass, and dampened insulin-stimulated glucose disposal and oxidation in both  rodents and humans. A limited amount of research has attempted to elucidate  molecular regulators of muscle mass loss and insulin resistance during increased  inflammatory burden, but rarely concurrently. Nevertheless, there is evidence  that Akt (protein kinase B) signalling and FOXO transcription factors form part  of a common signalling pathway in this scenario, such that molecular cross-talk  between atrophy and insulin signalling during heightened inflammation is believed  to be possible. To conclude, whilst muscle mass loss and insulin resistance are  common end-points of immobilisation and increased inflammatory burden, a lack of  understanding of the mechanisms responsible for these traits exists such that a  substantial gap in understanding of the pathophysiology in humans endures.",2019,The Journal of physiology,4,wasting; muscle wasting; sarcopenia; loss; understanding
Celastrol and Cblin peptide activation of IGF-1 signaling prevents microgravity-induced atrophy in rat L6 myotubes.,"This study investigated the efficacy of two natural compounds-celastrol, a heat shock protein (HSP) inducer, and Cblin peptide, a ubiquitination inhibitor-in  counteracting muscle atrophy under real microgravity conditions. Both agents  independently attenuated microgravity-induced reductions in myotube thickness,  myosin heavy chain protein levels, and atrogene expression. Celastrol primarily  enhanced HSP expression, whereas Cblin peptide inhibited insulin receptor  substrate-1 degradation, thereby promoting insulin-like growth factor-1  signaling. Despite their distinct molecular actions, no synergistic or additive  effects were observed when combined. These findings highlight the potential of  celastrol and Cblin peptide as functional ingredients for mitigating muscle  atrophy, particularly in the context of space travel. Notably, Cblin peptide is  abundant in glycinin-rich soybean protein, and celastrol is derived from the root  of Tripterygium wilfordii (Taiwan vine). Future applications may include  incorporating these plant-derived compounds into space foods to improve the  quality of life for astronauts in space.NEW & NOTEWORTHY This study evaluated the  effects of celastrol and the Cblin peptide in mitigating muscle atrophy under  microgravity conditions. Both compounds alleviated myotube atrophy through  distinct mechanisms, though no synergistic effect was observed. Celastrol  upregulated heat shock protein (HSP) expression, whereas Cblin prevented IRS-1  degradation, thereby enhancing IGF-1 signaling. Sourced from Tripterygium  wilfordii and soybean protein, respectively, these agents may serve as functional  space foods to help counteract muscle atrophy and support astronauts' health  during spaceflight.",2026,American journal of physiology. Cell physiology,6,microgravity; space; spaceflight; simulated; mitochondrial
Impact of muscle atrophy on bone metabolism and bone strength: implications for muscle-bone crosstalk with aging and disuse.,"Bone fractures in older adults are often preceded by a loss of muscle mass and strength. Likewise, bone loss with prolonged bed rest, spinal cord injury, or  with exposure to microgravity is also preceded by a rapid loss of muscle mass.  Recent studies using animal models in the setting of hindlimb unloading or  botulinum toxin (Botox) injection also reveal that muscle loss can induce bone  loss. Moreover, muscle-derived factors such as irisin and leptin can inhibit bone  loss with unloading, and knockout of catabolic factors in muscle such as the  ubiquitin ligase Murf1 or the myokine myostatin can reduce osteoclastogenesis.  These findings suggest that therapies targeting muscle in the setting of disuse  atrophy may potentially attenuate bone loss, primarily by reducing bone  resorption. These potential therapies not only include pharmacological approaches  but also interventions such as whole-body vibration coupled with resistance  exercise and functional electric stimulation of muscle.",2018,Osteoporosis international : a journal established as result of cooperation between the European Foundation for Osteoporosis and the National Osteoporosis  Foundation of the USA,5,older; bed; hmb; bed rest; rest
Allopurinol partially prevents disuse muscle atrophy in mice and humans.,"Disuse muscle wasting will likely affect everyone in his or her lifetime in response to pathologies such as joint immobilization, inactivity or bed rest.  There are no good therapies to treat it. We previously found that allopurinol, a  drug widely used to treat gout, protects muscle damage after exhaustive exercise  and results in functional gains in old individuals. Thus, we decided to test its  effect in the prevention of soleus muscle atrophy after two weeks of hindlimb  unloading in mice, and lower leg immobilization following ankle sprain in humans  (EudraCT: 2011-003541-17). Our results show that allopurinol partially protects  against muscle atrophy in both mice and humans. The protective effect of  allopurinol is similar to that of resistance exercise which is the best-known way  to prevent muscle mass loss in disuse human models. We report that allopurinol  protects against the loss of muscle mass by inhibiting the expression of  ubiquitin ligases. Our results suggest that the ubiquitin-proteasome pathway is  an appropriate therapeutic target to inhibit muscle wasting and emphasizes the  role of allopurinol as a non-hormonal intervention to treat disuse muscle  atrophy.",2018,Scientific reports,9,mice; muscle atrophy; protein; immobilization; mass
Construction and Analysis of Disuse Atrophy Model of the Gastrocnemius Muscle in Chicken.,"Disuse muscle atrophy is identified as the physiological, biochemical, morphological, and functional changes during restricted movement, immobilization,  or weightlessness. Although its internal mechanism has been extensively studied  in mammals and was thought to be mainly related to oxidative stress, it was  unclear whether it behaved consistently in non-mammals such as chickens. In this  study, we tried to construct a disuse atrophy model of the gastrocnemius muscle  in chickens by limb immobilization, and collected the gastrocnemius muscles of  the fixed group and the control group for RNA sequencing. Through analysis of  muscle loss, HE staining, immunohistochemistry, and oxidative stress level, we  found that limb immobilization could lead to loss of muscle mass, decrease in  muscle fiber diameter, decrease in the proportion of slow muscle fibers, and  increase in the proportion of fast muscle fibers, and also cause elevated levels  of oxidative stress. In addition, a total of 565 different expression genes  (DEGs) were obtained by RNA sequencing, which was significantly enriched in the  biological processes such as cell proliferation and apoptosis, reactive oxygen  species metabolism, and fast and slow muscle fiber transformation, and it showed  that the FOXO signaling pathway, closely related to muscle atrophy, was  activated. In brief, we initially confirmed that limb immobilization could induce  disuse atrophy of skeletal muscle, and oxidative stress was involved in the  process of disuse muscle atrophy.",2022,International journal of molecular sciences,9,mice; muscle atrophy; protein; immobilization; mass
